genome	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
SRS1993002_SemiBin_14	86.0	82.69	0.81	86.0	Neural Network (Specific Model)	11	0.875	41067	341.0921293471629	1915009	0.59	1639		81.95	SRS1993002	300	1914709	1915009	41067	113	83	10.622960158263622
SRS1993002_SemiBin_15	97.54	98.47	0.11	97.54	Neural Network (Specific Model)	11	0.872	84641	343.07683486238534	2054489	0.56	1744		96.99000000000001	SRS1993002	350	2054139	2054489	84641	83	48	11.346174061767137
SRS1993002_SemiBin_16	99.91	99.46	3.11	99.91	Neural Network (Specific Model)	11	0.858	94557	333.80276322058126	2446262	0.63	2099		84.36	SRS1993002	698	2445572	2446262	94557	126	57	11.456958106248324
SRS1993003_SemiBin_02	98.65	99.03	0.09	98.65	Neural Network (Specific Model)	11	0.879	92049	351.10459987397604	3799953	0.45	3174		98.2	SRS1993003	540	3799413	3799953	92049	115	61	11.43007632294116
SRS1993003_SemiBin_03	96.15	90.9	0.55	96.15	Neural Network (Specific Model)	11	0.888	88245	312.20900537634407	4701797	0.51	4464		93.4	SRS1993003	2510	4699287	4701797	88245	365	114	11.387872315966666
SRS1993003_SemiBin_05	60.54	49.36	1.9	60.54	Neural Network (Specific Model)	11	0.896	7761	279.7616497054097	3484840	0.55	3734		51.04	SRS1993003	4189	3480700	3484840	7761	972	558	8.95686647085414
SRS1993003_SemiBin_06	91.1	97.32	1.06	91.1	Neural Network (Specific Model)	11	0.871	8456	307.43280282935456	2392719	0.29	2262	 Singleton species	85.8	SRS1993003	4228	2388549	2392719	8456	784	367	9.042631527550071
SRS1993003_SemiBin_14	93.8	92.93	1.04	93.8	Neural Network (Specific Model)	11	0.901	22389	309.0975196099216	4845495	0.55	4717	 Singleton species	88.6	SRS1993003	2210	4843285	4845495	22389	580	359	10.016325045799498
SRS1993003_SemiBin_17	99.98	100.0	0.4	99.98	Neural Network (Specific Model)	11	0.87	148242	343.3825989960959	2120727	0.56	1793		97.98	SRS1993003	1810	2118917	2120727	148242	226	45	11.906601352503415
SRS1993004_SemiBin_01	84.5	83.36	4.73	84.5	Neural Network (Specific Model)	11	0.884	28533	349.7409572524662	3246170	0.46	2737		60.849999999999994	SRS1993004	320	3245850	3246170	28533	249	217	10.258816591150495
SRS1993004_SemiBin_03	99.89	98.88	8.55	99.89	Neural Network (Specific Model)	11	0.849	182001	308.09995147986416	2241486	0.44	2061		57.14	SRS1993004	900	2240586	2241486	182001	115	25	12.111767460549332
SRS1993004_SemiBin_04	81.78	93.66	0.5	81.78	Neural Network (Specific Model)	11	0.863	19892	310.41693963500234	2301968	0.6	2137		79.28	SRS1993004	3790	2298178	2301968	19892	553	174	9.898072919834627
SRS1993004_SemiBin_10	90.9	87.76	0.83	90.9	Neural Network (Specific Model)	11	0.857	38561	321.1910982099661	2319099	0.62	2067		86.75	SRS1993004	2010	2317089	2319099	38561	294	93	10.55999668199817
SRS1993004_SemiBin_11	58.3	49.05	1.16	58.3	Neural Network (Specific Model)	11	0.872	5455	270.1818830242511	1299099	0.59	1402		52.5	SRS1993004	3279	1295869	1299099	5455	602	279	8.604287898267172
SRS1993004_SemiBin_14	85.87	96.28	0.0	85.87	Neural Network (Specific Model)	4	0.904	55948	334.11531531531534	613275	0.28	555	 Singleton species	85.87	SRS1993004	350	612925	613275	55948	55	20	10.932177966899197
SRS1993004_SemiBin_17	93.58	93.58	0.91	88.76	Gradient Boost (General Model)	11	0.864	22581	306.6925051334702	2070520	0.64	1948		89.03	SRS1993004	2082	2068450	2070520	22581	346	139	10.024864123702642
SRS1993004_SemiBin_18	100.0	100.0	0.75	99.44	Gradient Boost (General Model)	11	0.896	33135	296.1999105545617	2213506	0.34	2236	 Singleton species	96.25	SRS1993004	943	2212576	2213506	33135	195	102	10.408345404522327
SRS1993004_SemiBin_19	85.09	86.78	0.16	85.09	Neural Network (Specific Model)	11	0.883	31797	353.7566409597258	2801980	0.46	2334		84.29	SRS1993004	300	2801680	2801980	31797	188	158	10.367127224695365
SRS1993004_SemiBin_22	99.95	99.29	1.51	99.95	Neural Network (Specific Model)	11	0.87	53776	343.324480369515	2048373	0.56	1732		92.4	SRS1993004	4530	2043843	2048373	53776	544	91	10.892582549964889
SRS1993006_SemiBin_01	92.18	87.57	1.5	92.18	Neural Network (Specific Model)	11	0.859	28961	325.159793814433	2198431	0.63	1940		84.68	SRS1993006	1142	2197301	2198431	28961	239	126	10.273705376290232
SRS1993006_SemiBin_03	85.1	85.85	2.51	85.1	Neural Network (Specific Model)	11	0.87	14288	300.13693599160547	1969545	0.66	1906	 Singleton species	72.55	SRS1993006	1451	1968115	1969545	14288	349	206	9.56717530311628
SRS1993006_SemiBin_04	93.22	98.98	0.07	93.22	Neural Network (Specific Model)	11	0.897	117770	308.4248582230624	2179009	0.47	2116		92.87	SRS1993006	200	2178809	2179009	117770	55	35	11.676488848835596
SRS1993006_SemiBin_07	99.98	99.64	0.42	99.98	Neural Network (Specific Model)	11	0.835	62536	303.9015889287545	2126550	0.44	1951		97.88000000000001	SRS1993006	1100	2125450	2126550	62536	168	58	11.043497669900166
SRS1993006_SemiBin_09	68.71	64.68	0.01	68.71	Neural Network (Specific Model)	11	0.873	13867	309.69772117962464	1584845	0.58	1492		68.66	SRS1993006	1398	1583455	1584845	13867	316	177	9.537267195753865
SRS1993006_SemiBin_10	86.84	86.84	2.27	80.41	Gradient Boost (General Model)	11	0.863	15254	293.4547112462006	1674990	0.65	1645		75.49000000000001	SRS1993006	3255	1671780	1674990	15254	498	177	9.632597042724184
SRS1993006_SemiBin_14	77.46	79.47	3.61	77.46	Neural Network (Specific Model)	11	0.876	13082	342.52662229617306	2815653	0.46	2404		59.41	SRS1993006	5540	2810113	2815653	13082	860	306	9.478992518521158
SRS1993006_SemiBin_16	95.37	89.46	0.31	95.37	Neural Network (Specific Model)	11	0.869	69309	344.6364949446317	2468713	0.6	2077		93.82000000000001	SRS1993006	740	2467973	2468713	69309	147	73	11.14633004687547
SRS1993006_SemiBin_19	94.32	96.53	0.78	94.32	Neural Network (Specific Model)	11	0.872	53858	343.413390010627	2219980	0.56	1882		90.41999999999999	SRS1993006	1220	2218760	2219980	53858	195	73	10.894106232367552
SRS1993058_SemiBin_01	98.43	93.54	1.6	98.43	Neural Network (Specific Model)	11	0.877	45381	289.45604719764015	1676684	0.37	1695		90.43	SRS1993058	110	1676574	1676684	45381	62	51	10.722848794230307
SRS1993058_SemiBin_02	99.97	99.13	0.14	99.97	Neural Network (Specific Model)	11	0.874	139963	343.45717344753746	2197954	0.56	1868		99.27	SRS1993058	270	2197684	2197954	139963	52	25	11.849133380947531
SRS1993058_SemiBin_03	99.6	100.0	0.03	99.6	Neural Network (Specific Model)	11	0.884	151050	315.1838159786404	5196629	0.58	4869		99.44999999999999	SRS1993058	665	5195969	5196629	151050	126	60	11.925366186814818
SRS1993058_SemiBin_05	70.27	71.47	0.83	70.27	Neural Network (Specific Model)	11	0.887	38421	320.6848567530696	1587615	0.39	1466		66.11999999999999	SRS1993058	200	1587415	1587615	38421	89	69	10.556359464094182
SRS1993058_SemiBin_06	95.88	85.09	2.75	95.88	Neural Network (Specific Model)	11	0.863	67399	293.69658536585365	2088410	0.37	2050		82.13	SRS1993058	120	2088290	2088410	67399	57	45	11.11838545999508
SRS1993058_SemiBin_08	99.85	100.0	0.06	99.85	Neural Network (Specific Model)	11	0.897	99812	304.68919734459865	1683294	0.36	1657	 Singleton species	99.55	SRS1993058	30	1683264	1683294	99812	35	32	11.51104369555221
SRS1993058_SemiBin_10	79.71	85.93	2.97	79.71	Neural Network (Specific Model)	11	0.843	20905	266.52904884318764	1838815	0.44	1945		64.85999999999999	SRS1993058	2951	1835895	1838815	20905	441	149	9.947743643790666
SRS1993062_SemiBin_04	95.98	91.99	1.4	95.98	Neural Network (Specific Model)	11	0.885	147855	320.1799053129932	2059558	0.4	1901		88.98	SRS1993062	510	2059048	2059558	147855	87	36	11.90398734276765
SRS1993062_SemiBin_05	84.42	91.3	0.47	84.42	Neural Network (Specific Model)	11	0.867	10455	287.93586005830906	3414164	0.62	3430		82.07000000000001	SRS1993062	4974	3409254	3414164	10455	915	424	9.254835611862736
SRS1993062_SemiBin_10	92.04	93.95	0.58	92.04	Neural Network (Specific Model)	11	0.876	36848	334.02405686167305	2089847	0.59	1829		89.14	SRS1993062	900	2088947	2089847	36848	198	108	10.514556622060466
SRS1993062_SemiBin_14	55.61	58.92	0.97	55.61	Neural Network (Specific Model)	11	0.872	6347	277.9750631313131	3024361	0.58	3168		50.76	SRS1993062	12550	3011811	3024361	6347	1787	532	8.75573753930647
SRS1993062_SemiBin_16	94.22	89.6	0.97	94.22	Neural Network (Specific Model)	11	0.878	23904	282.99587020648966	1635821	0.38	1695		89.37	SRS1993062	900	1634921	1635821	23904	197	107	10.081801087932543
SRS1993062_SemiBin_19	84.12	89.43	3.41	84.12	Neural Network (Specific Model)	11	0.865	23675	323.15415216310294	2249618	0.6	2011		67.07000000000001	SRS1993062	2330	2247288	2249618	23675	413	180	10.072174918054278
SRS1993066_SemiBin_06	87.55	89.83	0.04	87.55	Neural Network (Specific Model)	11	0.871	12000	296.03957556638943	3552128	0.62	3487		87.35	SRS1993066	10072	3542188	3552128	12000	1381	387	9.392661928770137
SRS1993066_SemiBin_08	100.0	99.98	0.39	100.0	Neural Network (Specific Model)	11	0.867	558811	291.0843146490815	2134707	0.37	2123		98.05	SRS1993066	110	2134597	2134707	558811	22	11	13.233566591210566
SRS1993066_SemiBin_13	99.34	98.69	0.12	99.34	Neural Network (Specific Model)	11	0.874	82648	349.10529311326127	2100698	0.56	1757		98.74000000000001	SRS1993066	360	2100338	2100698	82648	72	36	11.322345904529282
SRS1993066_SemiBin_17	54.29	58.7	0.18	54.29	Neural Network (Specific Model)	11	0.879	8252	261.1	1901734	0.34	2140	 Singleton species	53.39	SRS1993066	10675	1891414	1901734	8252	1313	281	9.018210874191142
SRS1993066_SemiBin_20	92.65	87.38	0.06	92.65	Neural Network (Specific Model)	11	0.88	27590	307.8052685950413	2027104	0.4	1936		92.35000000000001	SRS1993066	1710	2025404	2027104	27590	292	122	10.225208667211332
SRS1993066_SemiBin_21	78.75	72.41	2.34	78.75	Neural Network (Specific Model)	11	0.861	20459	288.67887184562096	2025264	0.59	2021		67.05	SRS1993066	6743	2018694	2025264	20459	813	156	9.926178162455829
SRS1993066_SemiBin_23	59.87	67.47	1.22	59.87	Neural Network (Specific Model)	11	0.831	5800	262.73445301861096	2086029	0.42	2203	 Singleton species	53.769999999999996	SRS1993066	12418	2073659	2086029	5800	1627	390	8.66561319653451
SRS1993066_SemiBin_25	97.86	95.33	0.22	97.86	Neural Network (Specific Model)	11	0.888	84064	318.5225287356322	4672269	0.51	4350		96.76	SRS1993066	1100	4671169	4672269	84064	207	97	11.339333692485267
SRS1993078_SemiBin_02	96.35	89.81	1.32	96.35	Neural Network (Specific Model)	11	0.885	48540	317.2161741835148	2071014	0.4	1929		89.75	SRS1993078	1215	2069814	2071014	48540	208	88	10.790143479280593
SRS1993078_SemiBin_05	52.87	53.29	0.05	52.87	Neural Network (Specific Model)	11	0.875	223566	284.74280039721947	981615	0.37	1007		52.62	SRS1993078	0	981615	981615	223566	5	5	12.317461951456126
SRS1993092_SemiBin_03	84.16	92.48	0.15	84.16	Neural Network (Specific Model)	11	0.88	107058	291.81729518855656	1527068	0.37	1538		83.41	SRS1993092	20	1527048	1527068	107058	18	16	11.581126022659484
SRS1993092_SemiBin_05	94.5	93.32	0.0	94.5	Neural Network (Specific Model)	11	0.886	102593	315.16280170373875	4499742	0.51	4226		94.5	SRS1993092	200	4499542	4499742	102593	92	72	11.538524983270442
SRS1993092_SemiBin_07	82.14	86.2	0.12	82.14	Neural Network (Specific Model)	11	0.906	7852	313.0916387959866	1546982	0.39	1495		81.54	SRS1993092	3128	1543982	1546982	7852	543	243	8.968523555396352
SRS1993092_SemiBin_11	97.47	93.79	0.87	97.47	Neural Network (Specific Model)	11	0.883	115957	316.78837327893933	2107914	0.4	1961		93.12	SRS1993092	520	2107394	2107914	115957	98	46	11.660974711710937
SRS1993106_SemiBin_02	80.63	76.07	2.44	80.63	Neural Network (Specific Model)	11	0.875	10490	301.8900729108245	1842973	0.4	1783		68.42999999999999	SRS1993106	2340	1840633	1842973	10490	462	228	9.258177701390345
SRS1993106_SemiBin_03	99.86	99.05	0.46	99.86	Neural Network (Specific Model)	11	0.876	110414	361.5898912348048	1933993	0.56	1563		97.56	SRS1993106	40	1933953	1933993	110414	35	31	11.611992216379424
SRS1993106_SemiBin_05	100.0	99.95	0.25	100.0	Neural Network (Specific Model)	11	0.88	161626	313.6447574334898	4772993	0.51	4473		98.75	SRS1993106	1010	4771983	4772993	161626	152	51	11.993040303216658
SRS1993106_SemiBin_08	80.89	68.19	0.49	80.89	Neural Network (Specific Model)	11	0.854	25012	284.23103057757646	1759371	0.37	1766		78.44	SRS1993106	2629	1756821	1759371	25012	365	110	10.127110988687187
SRS1993106_SemiBin_10	96.42	100.0	0.09	96.42	Neural Network (Specific Model)	11	0.868	82126	295.56230366492144	1948652	0.4	1910		95.97	SRS1993106	100	1948552	1948652	82126	49	39	11.3160099322729
SRS1993106_SemiBin_12	79.06	82.33	0.87	79.06	Neural Network (Specific Model)	11	0.863	17043	317.9400898652022	2208955	0.59	2003		74.71000000000001	SRS1993106	2240	2206715	2208955	17043	442	218	9.743494841225235
SRS1993106_SemiBin_15	67.98	71.36	0.12	67.98	Neural Network (Specific Model)	11	0.889	119174	294.0525164113786	1358294	0.37	1371		67.38000000000001	SRS1993106	0	1358294	1358294	119174	24	24	11.688339889016214
SRS1993106_SemiBin_18	87.97	87.94	5.75	87.97	Neural Network (Specific Model)	11	0.875	28531	337.8135211267606	2054000	0.59	1775		59.22	SRS1993106	140	2053860	2054000	28531	139	125	10.258746494416974
SRS1993108_SemiBin_01	90.94	85.33	2.33	90.94	Neural Network (Specific Model)	11	0.871	40092	340.6951018161805	2127858	0.59	1817		79.28999999999999	SRS1993108	490	2127368	2127858	40092	148	99	10.598932092144755
SRS1993108_SemiBin_05	100.0	100.0	0.1	100.0	Neural Network (Specific Model)	11	0.889	196809	321.5440787893346	4509423	0.51	4163		99.5	SRS1993108	778	4508653	4509423	196809	122	45	12.189988994261943
SRS1993108_SemiBin_08	99.99	100.0	0.12	99.99	Neural Network (Specific Model)	11	0.902	165879	303.4819458375125	2008996	0.35	1994	 Singleton species	99.39	SRS1993108	1174	2007836	2008996	165879	153	37	12.019013885887842
SRS1993108_SemiBin_10	68.78	65.28	1.86	68.78	Neural Network (Specific Model)	11	0.823	15201	229.05325779036824	1466140	0.38	1765		59.480000000000004	SRS1993108	23647	1443140	1466140	15201	2438	138	9.62911649414402
SRS1993108_SemiBin_15	88.67	83.86	1.38	88.67	Neural Network (Specific Model)	11	0.869	23959	324.7859266600595	2259768	0.6	2018		81.77	SRS1993108	1317	2258458	2259768	23959	305	174	10.08409931513136
SRS1993108_SemiBin_20	99.91	98.88	0.17	99.91	Neural Network (Specific Model)	11	0.878	100572	361.9008212255212	1956409	0.56	1583		99.06	SRS1993108	200	1956209	1956409	100572	63	43	11.518629167886909
SRS1993108_SemiBin_21	94.6	91.45	4.54	94.6	Neural Network (Specific Model)	11	0.885	33398	311.22845055526176	1990810	0.4	1891		71.89999999999999	SRS1993108	889	1989930	1990810	33398	212	124	10.416251296932378
SRS1993108_SemiBin_22	99.93	100.0	0.08	99.93	Neural Network (Specific Model)	11	0.864	84118	296.41435897435895	2003950	0.47	1950		99.53	SRS1993108	100	2003850	2003950	84118	58	48	11.339975853975268
SRS1993116_SemiBin_01	99.86	95.33	0.1	99.86	Neural Network (Specific Model)	11	0.886	100921	314.77182952182955	2047935	0.4	1924		99.36	SRS1993116	710	2047225	2047935	100921	114	43	11.522093311544586
SRS1993116_SemiBin_02	99.25	99.94	1.43	99.25	Neural Network (Specific Model)	11	0.865	90652	306.92590431738626	1822714	0.47	1714		92.1	SRS1993116	1013	1821734	1822714	90652	131	33	11.41478327881882
SRS1993116_SemiBin_06	96.22	89.88	0.56	96.22	Neural Network (Specific Model)	11	0.868	46508	285.50758853288363	1752704	0.38	1779		93.42	SRS1993116	2577	1750134	1752704	46508	319	62	10.747379619788498
SRS1993116_SemiBin_08	70.19	71.83	3.26	70.19	Neural Network (Specific Model)	11	0.846	24749	282.1802507836991	1908443	0.55	1914		53.89	SRS1993116	13542	1895283	1908443	24749	1477	161	10.116540363140167
SRS1993116_SemiBin_10	99.24	95.6	3.44	99.24	Neural Network (Specific Model)	11	0.877	32136	305.21008583690985	4858379	0.51	4660		82.03999999999999	SRS1993116	8381	4849999	4858379	32136	1100	262	10.377732176039116
SRS1993122_SemiBin_03	99.56	98.04	2.23	99.56	Neural Network (Specific Model)	11	0.861	67109	323.7563249001332	2536239	0.6	2253		88.41	SRS1993122	1717	2534569	2536239	67109	237	70	11.11407344213231
SRS1993122_SemiBin_05	88.39	94.25	0.11	88.39	Neural Network (Specific Model)	11	0.876	27373	312.7973300970873	1763038	0.38	1648		87.84	SRS1993122	6048	1757088	1763038	27373	684	89	10.217312405089109
SRS1993122_SemiBin_10	93.74	98.21	0.0	93.74	Neural Network (Specific Model)	11	0.888	42994	313.83375442142494	4191587	0.51	3958		93.74	SRS1993122	1800	4189787	4191587	42994	319	139	10.66881585005608
SRS1993122_SemiBin_13	95.41	88.46	0.3	95.41	Neural Network (Specific Model)	11	0.877	91135	311.66968085106384	2000154	0.4	1880		93.91	SRS1993122	1802	1998354	2000154	91135	232	52	11.420097202659036
SRS1993132_SemiBin_01	80.99	78.94	3.09	80.99	Neural Network (Specific Model)	11	0.864	24392	300.1781045751634	1908671	0.56	1836		65.53999999999999	SRS1993132	4846	1903881	1908671	24392	597	118	10.10201048866809
SRS1993132_SemiBin_02	58.3	64.09	0.01	58.3	Neural Network (Specific Model)	11	0.883	10222	296.968537414966	1184523	0.42	1176		58.25	SRS1993132	2914	1181623	1184523	10222	447	157	9.232297539328226
SRS1993132_SemiBin_03	94.39	89.75	6.57	94.39	Neural Network (Specific Model)	11	0.861	29866	310.68	2810129	0.59	2600		61.54	SRS1993132	6065	2804099	2810129	29866	799	196	10.304475988617217
SRS1993132_SemiBin_08	87.41	80.75	1.34	87.41	Neural Network (Specific Model)	11	0.862	20331	286.92750287686994	1732762	0.37	1738		80.71	SRS1993132	2586	1730252	1732762	20331	372	121	9.919902093804223
SRS1993134_SemiBin_01	99.85	98.45	0.09	99.85	Neural Network (Specific Model)	11	0.895	73094	320.78930693069304	2711229	0.42	2525	 Singleton species	99.39999999999999	SRS1993134	360	2710869	2711229	73094	96	60	11.19950156302581
SRS1993134_SemiBin_04	94.95	98.94	2.41	94.95	Neural Network (Specific Model)	11	0.88	29164	304.74699738903394	3973032	0.51	3830		82.9	SRS1993134	6650	3966382	3973032	29164	890	225	10.28069035092632
SRS1993134_SemiBin_05	98.98	97.53	0.27	98.98	Neural Network (Specific Model)	11	0.857	120073	343.671283963772	2254425	0.62	1877		97.63000000000001	SRS1993134	580	2253845	2254425	120073	94	36	11.695855170137802
SRS1993134_SemiBin_09	93.91	92.15	4.09	93.91	Neural Network (Specific Model)	11	0.878	315750	285.5400322407308	1812819	0.38	1861		73.46	SRS1993134	210	1812609	1812819	315750	34	13	12.662706040212738
SRS1993134_SemiBin_16	88.94	85.02	1.14	88.94	Neural Network (Specific Model)	11	0.91	60379	312.2680623973727	2501484	0.43	2436		83.24	SRS1993134	1481	2500014	2501484	60379	221	74	11.00839664134826
SRS1993134_SemiBin_22	100.0	99.92	2.45	100.0	Neural Network (Specific Model)	11	0.89	49647	297.3982957669049	3640821	0.37	3638	 Singleton species	87.75	SRS1993134	461	3640361	3640821	49647	173	127	10.812693244687052
SRS1993134_SemiBin_27	78.48	90.52	0.13	78.48	Neural Network (Specific Model)	11	0.867	17512	319.87714443829555	1998121	0.6	1807		77.83	SRS1993134	9310	1988811	1998121	17512	1103	172	9.7706416392027
SRS1993134_SemiBin_29	98.67	95.78	1.68	98.67	Neural Network (Specific Model)	11	0.867	68907	328.7446492271106	3820123	0.41	3364		90.27	SRS1993134	600	3819523	3820123	68907	166	106	11.140513048357864
SRS1993140_SemiBin_1	100.0	99.82	0.46	100.0	Neural Network (Specific Model)	11	0.883	96640	300.8634730538922	5113097	0.5	5010		97.7	SRS1993140	800	5112297	5113097	96640	168	88	11.478748013168644
SRS1993140_SemiBin_2	87.03	87.04	0.07	87.03	Neural Network (Specific Model)	11	0.876	639478	288.1049562682216	1689280	0.37	1715		86.68	SRS1993140	200	1689080	1689280	639478	25	5	13.36840749753281
SRS1993140_SemiBin_5	96.46	96.82	2.22	96.46	Neural Network (Specific Model)	11	0.866	42955	294.33828461907046	2125095	0.39	2087		85.35999999999999	SRS1993140	831	2124265	2125095	42955	183	100	10.667908335072156
SRS1993140_SemiBin_6	87.43	95.24	0.53	87.43	Neural Network (Specific Model)	11	0.871	88560	339.76177130044846	2083679	0.56	1784		84.78	SRS1993140	1950	2081729	2083679	88560	253	58	11.39143556738252
SRS1993148_SemiBin_2	96.02	95.66	0.01	96.02	Neural Network (Specific Model)	11	0.887	184244	313.862763915547	4415085	0.51	4168		95.97	SRS1993148	400	4414685	4415085	184244	90	50	12.124016245070877
SRS1993148_SemiBin_3	100.0	100.0	0.43	100.0	Neural Network (Specific Model)	11	0.861	195107	293.848075962019	2045954	0.37	2001		97.85	SRS1993148	300	2045654	2045954	195107	43	13	12.181303405003955
SRS1993150_SemiBin_05	100.0	100.0	0.22	100.0	Neural Network (Specific Model)	11	0.863	203315	296.4172731683649	2120229	0.37	2061		98.9	SRS1993150	110	2120119	2120229	203315	27	16	12.222511779481946
SRS1993150_SemiBin_08	89.34	92.59	0.12	89.34	Neural Network (Specific Model)	11	0.88	18672	304.1197757390418	4061923	0.51	3924		88.74000000000001	SRS1993150	8080	4053843	4061923	18672	1095	287	9.834780354526336
SRS1993150_SemiBin_10	99.83	96.1	0.09	99.83	Neural Network (Specific Model)	11	0.879	58999	315.74701298701297	2072063	0.4	1925		99.38	SRS1993150	510	2071553	2072063	58999	108	57	10.985275773591676
SRS1993150_SemiBin_13	91.23	89.0	0.1	91.23	Neural Network (Specific Model)	11	0.869	15370	304.8465768490514	3822028	0.63	3637		90.73	SRS1993150	13270	3808758	3822028	15370	1677	350	9.640172836532642
SRS1993150_SemiBin_16	96.47	92.21	0.01	96.47	Neural Network (Specific Model)	11	0.866	54893	297.2768456375839	1839205	0.4	1788		96.42	SRS1993150	500	1838705	1839205	54893	105	55	10.913141114814492
SRS1993166_SemiBin_2	66.7	66.44	0.25	66.7	Neural Network (Specific Model)	11	0.866	209403	298.0956399437412	1466110	0.37	1422		65.45	SRS1993166	110	1466000	1466110	209403	21	10	12.252015903963512
SRS1993166_SemiBin_3	99.6	98.39	0.04	99.6	Neural Network (Specific Model)	11	0.883	99176	310.58775205377145	4229463	0.51	4017		99.39999999999999	SRS1993166	1800	4227663	4229463	99176	275	95	11.504651328517983
SRS1993172_SemiBin_02	74.43	78.54	0.05	74.43	Neural Network (Specific Model)	11	0.876	41339	312.78870496592015	3294421	0.51	3081		74.18	SRS1993172	6010	3288411	3294421	41339	740	139	10.629561643296354
SRS1993172_SemiBin_03	92.55	94.91	0.38	92.55	Neural Network (Specific Model)	11	0.858	111130	297.08416389811737	1872725	0.37	1806		90.64999999999999	SRS1993172	110	1872615	1872725	111130	39	28	11.618455966179692
SRS1993172_SemiBin_07	94.02	88.2	2.24	94.02	Neural Network (Specific Model)	11	0.88	23336	307.639898989899	2073482	0.4	1980		82.82	SRS1993172	2420	2071062	2073482	23336	400	158	10.057752511547555
SRS1993172_SemiBin_09	87.88	76.93	0.21	87.88	Neural Network (Specific Model)	11	0.88	34516	281.63252032520325	1767540	0.37	1845		86.83	SRS1993172	210	1767330	1767540	34516	97	76	10.449178263628198
