genome	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
SRS1993134_maxbin_17	77.43	91.49	0.06	77.43	Neural Network (Specific Model)	11	0.866	16288	318.825479930192	1897437	0.61	1719		77.13000000000001	SRS1993134	8900	1888537	1897437	16288	1093	203	9.69818391935025
SRS1993134_metabat_02	96.69	97.53	0.25	96.69	Neural Network (Specific Model)	11	0.857	120073	344.52982646420827	2220142	0.63	1844		95.44	SRS1993134	550	2219592	2220142	120073	88	33	11.695855170137802
SRS1993134_metabat_08	99.9	99.96	1.26	99.9	Neural Network (Specific Model)	11	0.899	65114	308.38679583781845	2861966	0.37	2787	 Singleton species	93.60000000000001	SRS1993134	190	2861776	2861966	65114	83	64	11.083894858839356
SRS1993134_metabat_09_sub	99.52	95.93	0.72	99.52	Neural Network (Specific Model)	11	0.865	68437	323.5972927241963	3974423	0.41	3546		95.92	SRS1993134	530	3973893	3974423	68437	178	125	11.133668893030196
SRS1993134_metabat_14	98.12	96.34	0.91	98.12	Neural Network (Specific Model)	11	0.906	30301	301.7389964788732	2265204	0.33	2272	 Singleton species	93.57000000000001	SRS1993134	900	2264304	2265204	30301	205	115	10.318935994253192
SRS1993134_metabat_15	93.39	97.49	2.56	93.39	Neural Network (Specific Model)	11	0.88	25968	300.33878562577445	4122642	0.51	4035		80.59	SRS1993134	7110	4115532	4122642	25968	975	264	10.164620289754373
SRS1993140_maxbin_2	99.99	100.0	0.21	99.99	Neural Network (Specific Model)	11	0.874	639478	287.10304324612923	1843622	0.38	1873		98.94	SRS1993140	300	1843322	1843622	639478	40	10	13.36840749753281
SRS1993140_maxbin_3	100.0	99.82	0.5	100.0	Neural Network (Specific Model)	11	0.879	94690	297.61004830917875	5245601	0.5	5175		97.5	SRS1993140	1000	5244601	5245601	94690	214	114	11.458363676977546
SRS1993148_maxbin_3	100.0	100.0	0.48	100.0	Neural Network (Specific Model)	11	0.861	195107	286.130612244898	2193774	0.37	2205		97.6	SRS1993148	330	2193444	2193774	195107	63	30	12.181303405003955
SRS1993148_maxbin_4	100.0	100.0	0.1	100.0	Neural Network (Specific Model)	11	0.884	182026	307.7008421052632	4952717	0.51	4750		99.5	SRS1993148	500	4952217	4952717	182026	132	82	12.11190481299868
SRS1993148_metabat_07	55.35	54.76	0.26	55.35	Neural Network (Specific Model)	11	0.865	5415	260.8891947694425	1312965	0.6	1453		54.050000000000004	SRS1993148	843	1312135	1312965	5415	388	305	8.596928159435091
SRS1993150_maxbin_09	95.23	93.87	0.99	95.23	Neural Network (Specific Model)	11	0.867	14944	297.8230219373922	4176916	0.63	4057	 Singleton species	90.28	SRS1993150	13320	4163596	4176916	14944	1852	520	9.612065160468624
SRS1993150_metabat_01	100.0	100.0	0.21	100.0	Neural Network (Specific Model)	11	0.863	175697	296.27203065134097	2147157	0.37	2088		98.95	SRS1993150	110	2147047	2147157	175697	31	20	12.07651619947051
SRS1993166_maxbin_2	100.0	99.98	0.37	100.0	Neural Network (Specific Model)	11	0.86	176689	295.4335232668566	2165811	0.37	2106		98.15	SRS1993166	130	2165681	2165811	176689	40	27	12.08214640396482
SRS1993166_metabat_2	100.0	99.82	0.0	100.0	Neural Network (Specific Model)	11	0.887	91141	313.3481389578164	4265610	0.51	4030		100.0	SRS1993166	1730	4263880	4265610	91141	253	80	11.420163036888468
SRS1993172_maxbin_7	99.98	98.91	0.68	99.98	Neural Network (Specific Model)	11	0.868	32430	304.20765635432895	4716190	0.51	4493		96.58	SRS1993172	9032	4707160	4716190	32430	1203	300	10.386839199301363
SRS1993172_metabat_07	65.1	69.13	0.65	65.1	Neural Network (Specific Model)	11	0.854	20942	328.18648208469057	1412933	0.61	1228		61.849999999999994	SRS1993172	5740	1407193	1412933	20942	682	108	9.949511990847409
