Bin Id	Completeness	Contamination	Strain heterogeneity	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Sample
ERR675520_metabat_13	94.97	0.95	0.0	42	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	49.209482880299994	2.34742	1959	0.9082763203859999	ERR675520
ERR675520_metabat_15	94.7	1.01	0.0	42	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	53.7495340419	2.476775	1937	0.872443399178	ERR675520
ERR675520_metabat_16	97.65	1.82	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.0779889196	3.020267	2446	0.881012175414	ERR675520
ERR675520_metabat_18	92.17	0.57	0.0	42	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	46.283692100299994	3.3238790000000003	3181	0.9085532295250001	ERR675520
ERR675520_metabat_19	90.32	0.27	0.0	41	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	41.4556369128	2.620206	2375	0.9084610141339999	ERR675520
ERR675520_metabat_24_sub	0.0	0.0	0.0	0	0			unresolved	34.8381683379	0.072727	62	0.935402257758	ERR675520
ERR675520_metabat_25_sub	0.36	0.0	0.0	1	0	UID3172	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	f__Aquificaceae	49.336426465600006	0.41441400000000006	429	0.822648366127	ERR675520
ERR675520_metabat_27	69.81	2.07	0.0	27	1	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	44.4979702991	2.827811	2881	0.886551824008	ERR675520
ERR675520_metabat_28	57.57	0.57	0.0	17	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.9968558058	1.955976	1950	0.9086921311920001	ERR675520
ERR675520_metabat_31_sub	75.87	1.61	100.0	27	3	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	34.9859742861	1.185011	995	0.903748572798	ERR675520
ERR675520_metabat_33_sub	26.02	0.0	0.0	3	0	UID2672	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	s__	46.2543995146	1.739106	1743	0.913744188106	ERR675520
ERR675520_metabat_36	23.87	0.29	0.0	27	0	UID3189	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	unresolved	34.5111402117	0.43545100000000003	481	0.9256816496	ERR675520
ERR675520_metabat_37_sub	0.0	0.0	0.0	0	0			unresolved	41.7259009852	0.225304	258	0.918314810212	ERR675520
ERR675521_maxbin_01_sub	0.0	0.0	0.0	0	0			unresolved	40.4419921275	0.663723	825	0.85385620206	ERR675521
ERR675521_maxbin_02_sub	0.0	0.0	0.0	0	0			unresolved	40.8935364612	0.560222	557	0.860426759392	ERR675521
ERR675521_maxbin_03_sub	0.0	0.0	0.0	0	0			unresolved	48.5424092209	0.256105	273	0.917104312684	ERR675521
ERR675521_maxbin_05	97.13	0.29	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	44.9868593351	4.025938	3922	0.8840031813700001	ERR675521
ERR675521_maxbin_06_sub	12.64	0.28	0.0	17	2	UID2378	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae	g__Coprobacillus	35.257491209499996	0.377456	292	0.924928998347	ERR675521
ERR675521_maxbin_07	90.68	1.38	61.54	35	8	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	52.7032590865	2.785272	2414	0.88923882479	ERR675521
ERR675521_maxbin_08	97.96	0.17	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.42148629770001	3.2158860000000002	2875	0.885575234943	ERR675521
ERR675521_maxbin_09_sub	2.39	0.0	0.0	4	0	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	33.2080383681	1.151858	1308	0.8767591144050001	ERR675521
ERR675521_maxbin_14	78.38	0.52	50.0	37	0	UID540	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_3;g__Lactobacillus_3	f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_animalis	40.9304261262	1.505902	1585	0.890154206582	ERR675521
ERR675521_maxbin_15_sub	1.75	0.0	0.0	2	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	39.2768853921	0.08863	117	0.789777727632	ERR675521
ERR675521_maxbin_16_sub	3.51	0.0	0.0	1	0	UID1255	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	52.2758627751	0.392347	498	0.885022696745	ERR675521
ERR675521_maxbin_17_sub	17.64	0.93	28.57	31	6	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	60.557493676499995	0.701278	736	0.917564788857	ERR675521
ERR675521_maxbin_18_sub	11.21	0.14	50.0	10	4	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.5438879817	1.396217	1676	0.880770682494	ERR675521
ERR675521_maxbin_21_sub	23.56	0.0	0.0	37	0	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	61.459742284300006	0.569313	629	0.880111643332	ERR675521
ERR675521_maxbin_22_sub	8.66	0.0	0.0	31	0	UID398	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_johnsonii	unresolved	39.0972061222	0.24585900000000002	204	0.8902012942380001	ERR675521
ERR675521_maxbin_24_sub	13.98	0.38	0.0	14	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	53.483195437	0.484645	534	0.893336359603	ERR675521
ERR675521_maxbin_25_sub	17.24	0.0	0.0	3	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	63.3436551447	0.558825	728	0.8901856574060001	ERR675521
ERR675521_maxbin_26_sub	10.42	4.17	0.0	0	0			unresolved	56.3688426527	1.459119	1804	0.891411187162	ERR675521
ERR675521_maxbin_27_sub	10.37	1.75	100.0	9	2	UID1295	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	49.299788894399995	0.529932	597	0.914038027521	ERR675521
ERR675521_maxbin_28	95.09	3.17	0.0	12	0	UID398	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_johnsonii	unresolved	34.272633044	1.880818	1802	0.8949499632610001	ERR675521
ERR675521_metabat_01	96.55	0.76	0.0	43	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	51.5965537188	3.695698	3184	0.893692341744	ERR675521
ERR675521_metabat_02_sub	93.72	0.98	66.67	30	0	UID1328	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	45.5348840112	2.884617	2573	0.910838423264	ERR675521
ERR675521_metabat_03_sub	95.11	1.94	0.0	40	1	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	47.621659037600004	4.7788379999999995	4380	0.8991639808670001	ERR675521
ERR675521_metabat_04_sub	8.62	0.0	0.0	1	0	UID475	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_2;g__Lactobacillus_2;s__Lactobacillus_reuteri	f__Lactobacillaceae;g__Lactobacillus	36.4334811707	0.187819	204	0.86589748641	ERR675521
ERR675521_metabat_05	98.87	0.38	0.0	43	0	UID2789	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	unresolved	41.9094213587	4.649637	3902	0.902899301601	ERR675521
ERR675521_metabat_07	10.34	0.0	0.0	1	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	52.4993343983	0.240394	254	0.8735326172869999	ERR675521
ERR675521_metabat_09_sub	0.0	0.0	0.0	0	0			unresolved	49.785323965699995	0.399878	379	0.881563876982	ERR675521
ERR675521_metabat_10	97.17	2.29	0.0	41	0	UID2385	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme	54.9456382861	2.074824	1987	0.8694221774959999	ERR675521
ERR675521_metabat_11	95.0	0.48	0.0	43	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	48.8350566003	2.409328	1990	0.910934501239	ERR675521
ERR675521_metabat_12	86.96	0.65	0.0	42	0	UID472	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_2;g__Lactobacillus_2;s__Lactobacillus_reuteri	f__Lactobacillaceae;g__Lactobacillus	38.6495536563	1.7092490000000002	1690	0.887770593986	ERR675521
ERR675521_metabat_13	94.95	2.56	0.0	38	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	43.988263421000006	3.3613199999999996	3265	0.872358180715	ERR675521
ERR675521_metabat_14_sub	92.36	1.25	0.0	38	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	49.2977635935	4.001958999999999	3513	0.888513350587	ERR675521
ERR675521_metabat_15	96.04	2.06	20.0	42	1	UID1256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	48.3616886409	3.5456300000000005	3319	0.881487069999	ERR675521
ERR675521_metabat_16	86.84	0.75	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	50.9228852579	2.091799	1851	0.916688936174	ERR675521
ERR675521_metabat_17	76.85	0.69	50.0	36	1	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	61.28041844649999	2.207312	2184	0.8887701421459999	ERR675521
ERR675521_metabat_18_sub	3.45	0.0	0.0	1	0	UID1268	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Ruminococcus;s__Ruminococcus_gnavus	43.9239331251	0.548806	612	0.874553120775	ERR675521
ERR675521_metabat_20	97.57	1.18	0.0	24	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	40.7870705706	2.026161	1830	0.90144070486	ERR675521
ERR675521_metabat_21	85.66	0.0	0.0	43	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	41.8771936164	2.578867	2320	0.911195885635	ERR675521
ERR675521_metabat_22	87.61	0.57	0.0	31	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	49.7612970791	2.440061	2316	0.9073969872059999	ERR675521
ERR675521_metabat_23_sub	79.72	50.94	13.33	16	11	UID1228	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	61.2085930019	5.18755	5780	0.883169704388	ERR675521
ERR675521_metabat_25_sub	0.0	0.0	0.0	0	0			unresolved	40.670531291399996	0.81135	922	0.8389486658040001	ERR675521
ERR675521_metabat_26	95.05	0.48	0.0	42	0	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	57.530698343999994	1.949516	1778	0.875655290852	ERR675521
ERR675521_metabat_27	79.77	1.34	0.0	31	0	UID1236	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	g__Anaerotruncus;s__Anaerotruncus_colihominis	59.889543743699996	2.0580540000000003	2194	0.870382409791	ERR675521
ERR675521_metabat_29	68.91	11.14	1.82	25	0	UID1328	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	46.1840073459	4.077465	4384	0.883928617413	ERR675521
ERR675521_metabat_30_sub	70.55	2.3	14.29	16	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	51.381219462299995	2.774101	2549	0.8864363626270001	ERR675521
ERR675521_metabat_32_sub	74.89	1.27	0.0	35	1	UID1256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	unresolved	50.0207495111	2.639147	2719	0.898716896027	ERR675521
ERR675521_metabat_34	0.0	0.0	0.0	0	0			unresolved	51.6005340132	0.299304	362	0.8234370406010001	ERR675521
ERR675521_metabat_37	67.57	0.34	0.0	39	0	UID1227	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	39.540707706300005	1.2119209999999998	1294	0.919270315474	ERR675521
ERR675521_metabat_39_sub	0.0	0.0	0.0	0	0			unresolved	57.6894905323	0.66469	722	0.889703470791	ERR675521
ERR675521_metabat_40	35.44	0.25	0.0	27	0	UID410	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	unresolved	36.5802926029	0.631517	699	0.898602887967	ERR675521
ERR675521_metabat_42	4.17	0.0	0.0	0	0			unresolved	49.760134103599995	0.49071400000000004	561	0.9097335718970001	ERR675521
ERR675521_metabat_43_sub	2.11	0.0	0.0	1	0	UID3195	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae	g__Thermodesulfovibrio	49.8160293464	0.18043299999999998	214	0.840367338569	ERR675521
ERR675521_metabat_44	24.81	0.67	0.0	12	0	UID1327	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	f__Peptostreptococcaceae;g__Clostridium;s__	51.9928437526	1.514826	1693	0.8832116691949999	ERR675521
ERR675521_metabat_45_sub	17.54	0.0	0.0	1	0	UID1267	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Coprococcus	48.816092677600004	0.9722879999999999	1138	0.914429675158	ERR675521
ERR675521_metabat_48_sub	0.0	0.0	0.0	0	0			unresolved	31.372413554899996	0.058066999999999994	54	0.942652453201	ERR675521
ERR675521_metabat_49	27.39	0.0	0.0	32	0	UID3189	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	unresolved	34.4940177763	0.515679	543	0.9302705753	ERR675521
ERR675522_maxbin_01_sub	73.03	30.35	8.08	22	10	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	43.9089851772	5.745895	5576	0.9169062435009999	ERR675522
ERR675522_maxbin_02	98.11	2.29	0.0	41	0	UID2385	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme	54.713701555	2.318108	2272	0.8729614841069999	ERR675522
ERR675522_maxbin_03	86.6	0.75	0.0	43	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	51.510454683999995	2.1651119999999997	1714	0.8942641304469999	ERR675522
ERR675522_maxbin_04_sub	85.85	6.44	4.76	42	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	47.9026134345	2.946615	2679	0.911087807535	ERR675522
ERR675522_maxbin_09_sub	57.53	4.36	0.0	36	1	UID3189	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	unresolved	34.534514610100004	1.4501979999999999	1558	0.906407263008	ERR675522
ERR675522_maxbin_10_sub	26.42	1.84	18.18	17	4	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	51.8661283392	3.6928019999999995	4406	0.8837917657109999	ERR675522
ERR675522_maxbin_12_sub	26.4	3.79	22.22	14	2	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	60.7387766713	1.547688	1706	0.9085687813050001	ERR675522
ERR675522_maxbin_14	97.96	0.0	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.6390208419	2.796472	2368	0.884066781287	ERR675522
ERR675522_maxbin_16	73.26	0.1	0.0	41	1	UID3809	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	unresolved	51.768538248199995	0.735432	788	0.902699365815	ERR675522
ERR675522_maxbin_17_sub	75.34	2.91	0.0	41	0	UID2675	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	s__Bacteroides_intestinalis	43.0345871418	4.465219	3402	0.908043927969	ERR675522
ERR675522_maxbin_18_sub	9.69	0.05	0.0	20	2	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	58.333372274	0.42990200000000006	516	0.901593851622	ERR675522
ERR675522_metabat_01_sub	18.97	0.0	0.0	1	0	UID2662	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	unresolved	41.5813821165	1.6872049999999998	1500	0.896106282283	ERR675522
ERR675522_metabat_03	98.39	0.0	0.0	42	0	UID2130	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae	g__Olsenella;s__Atopobium_vaginae	58.97071604560001	1.8966040000000002	1571	0.8636394313200001	ERR675522
ERR675522_metabat_05	96.1	0.5	0.0	43	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	52.0967787692	3.1376169999999997	2580	0.9021524934370001	ERR675522
ERR675522_metabat_06_sub	6.9	0.0	0.0	1	0	UID2624	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	g__Dysgonomonas	50.0603692887	0.36201300000000003	294	0.906553079586	ERR675522
ERR675522_metabat_07	96.49	0.75	0.0	39	0	UID2789	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	unresolved	41.9201676733	4.533157	3689	0.900301269071	ERR675522
ERR675522_metabat_08_sub	4.17	0.0	0.0	0	0			unresolved	47.6461392269	0.163125	153	0.8726314176250001	ERR675522
ERR675522_metabat_09	95.1	0.16	0.0	42	0	UID2808	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	57.2268607694	2.087475	1885	0.886259715685	ERR675522
ERR675522_metabat_11	96.43	0.48	0.0	43	0	UID2617	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Rikenellaceae;g__Alistipes	48.466792517600005	2.62235	2196	0.902272770607	ERR675522
ERR675522_metabat_12	94.1	2.01	0.0	40	0	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	44.018157876400004	3.631367	3358	0.8832819706739999	ERR675522
ERR675522_metabat_13_sub	97.91	2.4	0.0	39	4	UID1286	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	47.4326890328	3.617692	3469	0.8848168943070001	ERR675522
ERR675522_metabat_14	96.15	1.18	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	40.8897028762	1.985125	1831	0.905428121655	ERR675522
ERR675522_metabat_16	90.12	0.0	0.0	43	0	UID1119	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	34.011604721	1.594063	1386	0.877367456619	ERR675522
ERR675522_metabat_19_sub	1.75	0.0	0.0	1	0	UID1295	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	39.083084171399996	0.055354999999999994	63	0.8367988438259999	ERR675522
ERR675522_metabat_24_sub	44.44	0.0	0.0	18	0	UID1287	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Butyrivibrio	45.9213380122	1.50149	1700	0.903261426983	ERR675522
ERR675522_metabat_27_sub	0.0	0.0	0.0	0	0			unresolved	47.2910323301	0.131243	165	0.900596603247	ERR675522
ERR675522_metabat_28_sub	1.72	0.0	0.0	1	0	UID2806	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	s__Odoribacter_splanchnicus	40.278993671	0.070061	83	0.824838355148	ERR675522
ERR675523_maxbin_01	98.11	3.23	0.0	41	0	UID2385	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_biforme	54.9782317222	2.318653	2285	0.873019809346	ERR675523
ERR675523_maxbin_02_sub	23.68	0.0	0.0	2	0	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	38.973397494699995	1.319294	1644	0.89031709384	ERR675523
ERR675523_maxbin_03_sub	0.0	0.0	0.0	0	0			unresolved	61.069746915900005	0.24792899999999998	323	0.9282012188969999	ERR675523
ERR675523_maxbin_04_sub	2.79	0.0	0.0	14	0	UID1226	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	33.1267263675	0.5698840000000001	626	0.858043040338	ERR675523
ERR675523_maxbin_06_sub	1.75	0.0	0.0	2	0	UID1308	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio	s__	42.1181125991	0.590118	710	0.8458138880699999	ERR675523
ERR675523_maxbin_07_sub	27.59	0.0	0.0	4	0	UID2618	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	unresolved	46.3259628266	1.1192229999999999	1077	0.9104780727339999	ERR675523
ERR675523_maxbin_08_sub	0.38	0.0	0.0	12	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	53.4821295422	0.020217	14	0.929069594895	ERR675523
ERR675523_maxbin_09	99.48	0.52	0.0	43	0	UID540	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_3;g__Lactobacillus_3	f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_animalis	40.2233436332	2.015202	1968	0.881928461762	ERR675523
ERR675523_maxbin_13_sub	12.83	1.08	0.0	20	7	UID1227	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Ruminococcaceae	44.1294803721	1.438197	1554	0.911818061086	ERR675523
ERR675523_maxbin_14_sub	0.0	0.0	0.0	0	0			unresolved	33.4336376415	0.344069	410	0.8541862242749999	ERR675523
ERR675523_maxbin_15	83.62	25.39	40.74	27	11	UID2809	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	unresolved	58.3352008674	1.773078	1831	0.8847992022910001	ERR675523
ERR675523_maxbin_22_sub	63.57	28.67	3.85	23	6	UID1337	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	g__Roseburia	51.0368471393	2.953565	3375	0.906000375817	ERR675523
ERR675523_maxbin_23_sub	27.38	2.3	33.33	8	1	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	51.452743751999996	1.781166	2056	0.8904273941899999	ERR675523
ERR675523_maxbin_24_sub	7.34	0.0	0.0	6	0	UID1231	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	unresolved	59.2107303458	0.45204399999999995	478	0.926403181991	ERR675523
ERR675523_maxbin_25_sub	10.34	3.45	0.0	1	0	UID1230	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	55.17260305	1.14993	1318	0.901878375205	ERR675523
ERR675523_maxbin_28	96.98	0.59	0.0	43	0	UID3256	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	unresolved	40.9022385599	1.9997790000000002	1836	0.9005810142020001	ERR675523
ERR675523_metabat_01	97.96	0.0	0.0	43	0	UID3058	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	g__Akkermansia;s__Akkermansia_muciniphila	55.64315333	2.7381159999999998	2333	0.8858324482969999	ERR675523
ERR675523_metabat_02	95.97	0.38	0.0	31	0	UID2655	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2	g__Barnesiella	49.894254408100004	2.457578	2207	0.914397020156	ERR675523
ERR675523_metabat_03	64.53	1.32	0.0	39	0	UID2654	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	f__Porphyromonadaceae_2;g__Barnesiella	51.7531593107	1.7002849999999998	1466	0.908034829455	ERR675523
